cdn_name,cdn_asn
"Akamai",AS12222,AS16625,AS17204,AS18717,AS20940,AS21342,AS24319,AS26008,AS31108,AS31984,AS32787,AS33905,AS34164,AS35204,AS35994,AS36183,AS49846,AS63949,AS213120,AS393234,AS393560
"Alibaba Cloud",AS24429,AS34947,AS37963,AS45102,AS134963,AS211914
"Amazon CloudFront",AS16509
"Aryaka",AS11179
"Baidu",AS38365,AS38627,AS55967
"BaishanCloud",AS139057
"BelugaCDN",AS23393
"BlazingCDN",AS39572
"Bunny.net",AS200325
"BytePlus",AS150436
"CacheFly",AS30081
"CDN77",AS211612,AS60068
"CDNetworks",AS204720
"ChinaCache", AS63541
"Cloudflare", AS13335,AS209242
"Comcast Technology Solutions",AS7922
"Edgio",AS22822
"EdgeNext",AS139057,AS149981
"Fastly",AS54113
"Cedexis",AS53847
"netdna-cdn",AS54104,AS33438
"G-Core Labs",AS199524
"GlobalConnect",AS64131,AS12552,AS31027,AS34932,AS42525,AS2116,AS16150,AS28717,AS41572,AS8896
"Google Cloud CDN",AS15169, AS36040, AS43515, AS36561, AS19527, AS139070, AS396982
"Huawei Cloud",AS136907,AS55990
"Imperva CDN",AS19551
"adobe",AS15224,AS1313
"cdnvideo",AS57363
"InternapCDN",AS29791
"KeyCDN",AS44239
"Lumen",AS3549,AS200,AS202818,AS209,AS3356,AS3561
"MainStreaming",AS51185
"Medianova",AS21245
"Microsoft Azure CDN",AS8075
"Netskrt",AS46265,AS400196,AS22359,AS53471
"Ngenix",AS34879
"Qwilt",AS20253
"StackPath",AS54104
"GoDaddy",AS26496,AS44273,AS34440
"Tata Communications",AS4755
"Tencent",AS132591,AS45090,AS132203
"Velocix",AS9540
"Wangsu",AS54994
"wixdns",AS58182
"Yottaa",AS393259
