CDN,DomainFrontSuccess,DomainFrontFailed,Total
Lumen,0,1111,1111
Ngenix,6,1145,1151
BelugaCDN,21,277,298
Alibaba_Cloud,93,610,703
Microsoft_Azure_CDN,18,1108,1126
Akamai,34,982,1016
Comcast_Technology_Solutions,39,856,895
Google_Cloud_CDN,43,761,804
Fastly,221,976,1197
CDN77,1046,192,1238
KeyCDN,9,3,12
Baidu,0,413,413
Bunny.net,155,43,198
EdgeNext,244,143,387
Tencent,31,753,784
Huawei_Cloud,235,604,839
BlazingCDN,22,526,548
Tata_Communications,128,860,988
BytePlus,19,190,209
Wangsu,112,625,737
GoDaddy,92,1139,1231
Imperva_CDN,1118,0,1118
G-Core_Labs,216,912,1128
Cloudflare,0,1226,1226
CacheFly,80,8,88
CDNetworks,4,226,230
GlobalConnect,71,907,978
Amazon_CloudFront,72,654,726
