cdn,domain_sld,ip_addr
adobe,adobe-campaign.com,192.243.228.1
adobe,helpexamples.com,192.147.130.204
adobe,syntrillium.com,192.147.130.204
adobe,mktoresp.com,192.28.147.88
adobe,creativecloud.com,192.147.130.204
adobe,mktdns.com,192.28.147.88
adobe,mktoutil.com,192.28.147.88
adobe,mktoweb.com,192.28.147.88
adobe,mktorest.com,192.28.147.88
adobe,ss-omtrdc.net,192.243.240.3
adobe,samsunggalaxy.email,192.243.228.1
adobe,assetsadobe.com,192.243.233.189
adobe,cmo.com,192.147.130.204
adobe,adobelogin.com,192.147.130.204
adobe,goodlifefitnessemail.com,192.243.228.1
adobe,ismg-mail.com,192.28.146.19
adobe,marketodesigner.com,192.28.147.88
adobe,adobetarget.com,192.147.130.204
adobe,cloudplatformonline.com,199.15.214.231
adobe,acrocomcontent.com,192.147.130.204
adobe,mktoapi.com,192.28.147.88
adobe,mktomail.com,199.15.214.178
adobe,firestonecompleteautocare-email.com,192.243.228.1
Akamai,ecosyl.se,213.52.129.81
Akamai,mtproxysa.live,172.233.219.123
Akamai,kinonadzor.co,172.237.146.25
Akamai,kinokrad.zone,172.237.146.38
Akamai,upboardguide.com,173.255.228.179
Akamai,charlottepipe.com,66.228.58.15
Akamai,healthimpactnews.com,104.200.19.217
Akamai,locationhost.com,173.230.156.69
Akamai,mastercard.cl,104.76.67.120
Akamai,hulagirlparking.com,45.33.101.88
Akamai,hoagiesgifted.org,45.33.95.26
Akamai,solarmandata.com,176.58.117.69
Akamai,jagoweb.org,172.104.48.129
Akamai,findesexfreunde.com,172.233.219.78
Akamai,pdfchef.com,23.215.0.136
Akamai,eldoce.tv,23.46.179.26
Akamai,wumbo.net,45.33.33.67
Akamai,hilti.in,95.100.104.17
Akamai,takdee168.com,172.104.190.167
Akamai,ebay.pl,104.84.150.50
Akamai,sxintegra.com.br,104.116.243.43
Akamai,figaroweb.com,23.92.23.227
Akamai,answear.com.cy,2.18.63.29
Akamai,easyfindanswers.com,172.232.102.43
Akamai,penheaven.com,178.79.178.218
Akamai,mooneygo.it,23.46.36.158
Akamai,eventotron.com,109.74.205.74
Akamai,sicredi.com.br,23.37.10.18
Akamai,petmd.com,95.100.104.14
Akamai,welovecinema.bnpparibas,92.123.189.35
Akamai,boxoh.com,172.233.219.49
Akamai,tescoinsurance.com,184.51.102.131
Akamai,expedia.ch,23.214.103.30
Akamai,samedelman.ca,23.46.10.229
Akamai,cauldrondevelopment.com,45.33.27.98
Akamai,keralamatrimony.com,23.194.4.22
Akamai,fletc.gov,23.210.164.212
Akamai,revistaraya.com,172.104.232.45
Akamai,dma.dk,172.232.147.252
Akamai,ft.education,172.104.49.38
Akamai,burton.com,184.24.68.133
Akamai,singaporeair.com,92.123.128.154
Akamai,irwinmitchell.com,23.208.249.144
Akamai,helpspot.com,45.56.104.72
Akamai,manulife.com.ph,104.90.100.44
Akamai,shopdisney.fr,23.48.247.235
Akamai,bookingcha.com,172.104.85.95
Akamai,cavangaa.ie,176.58.96.177
Akamai,columbusrecparks.com,172.234.204.128
Akamai,esky.cz,23.63.231.36
Akamai,yabsta.com,194.195.215.167
Akamai,rotork.com,2.17.100.209
Akamai,mangareader.net,172.237.146.8
Akamai,babkeeconv.com,172.104.137.160
Akamai,telemundo20.com,23.41.251.74
Akamai,publiccounsel.org,50.116.56.184
Akamai,sengokuixa.jp,23.49.167.42
Akamai,isakaabengaluru.com,194.195.115.127
Akamai,allianz.com.br,23.63.231.196
Akamai,next.co.uk,173.222.12.121
Akamai,sabaaibet168.com,139.162.9.132
Akamai,officeco.ca,45.79.104.136
Akamai,hackedonlinegames.com,45.79.41.201
Akamai,futbollatin.org,172.233.219.123
Akamai,kinoroom.one,172.237.146.25
Akamai,perfectdatingmatch.com,172.233.219.49
Akamai,altex.ro,23.63.231.209
Akamai,mastercard.co.uk,104.69.166.222
Akamai,cartoon8.tv,172.233.219.78
Akamai,starsscoop.com,172.233.219.123
Akamai,dnb.nl,92.123.189.115
Akamai,nbt.nhs.uk,109.74.199.90
Akamai,play-fortuna-casino.click,172.233.219.123
Akamai,entradas.com,104.76.72.11
Akamai,gsebsolutions.com,172.105.47.245
Akamai,asmarterplanet.com,199.46.34.76
Akamai,nbc.co.tz,178.79.178.218
Akamai,siir.me,172.105.128.106
Akamai,sgappanalytics.com,45.79.100.55
Akamai,farfetch.com,104.86.85.76
Akamai,dreamforce.com,184.31.10.133
Akamai,dungmori.com,172.105.204.198
Akamai,theretrofitsource.com,50.116.38.162
Akamai,ramenbet.co,172.237.146.25
Akamai,magickitchen.com,45.79.44.16
Akamai,amsurg.com,72.14.177.60
Akamai,home24.be,23.206.32.225
Akamai,kinobar.sbs,172.233.219.49
Akamai,dyson.bg,104.94.100.176
Akamai,havertys.com,104.103.197.3
Akamai,techgig.com,96.17.180.172
Akamai,pharaon-casino.best,172.237.146.8
Akamai,hyipoffice.studio,172.237.146.38
Akamai,vivinte.com,194.233.164.106
Akamai,digitalmartz.net,172.236.229.208
Akamai,nh-hotels.de,23.208.243.179
Akamai,bearcampcabins.com,45.33.102.119
Akamai,rbcdirectinvesting.com,23.201.254.153
Akamai,uscrimealerts.com,45.56.84.9
Akamai,hoteles.com,173.222.13.110
Alibaba_Cloud,mangatoon.mobi,8.214.4.44
Alibaba_Cloud,mindshow.fun,120.25.77.231
Alibaba_Cloud,xinqione.top,47.106.165.171
Alibaba_Cloud,20iog.com,8.222.84.33
Alibaba_Cloud,nsns.in,47.97.163.145
Alibaba_Cloud,gamecn.co,8.134.71.68
Alibaba_Cloud,ldyunos.com,47.100.97.177
Alibaba_Cloud,szdamai.com,47.106.253.164
Alibaba_Cloud,madenew.cn,47.52.161.167
Alibaba_Cloud,iu8ew.com,47.253.238.166
Alibaba_Cloud,wzfb.cn,47.94.220.92
Alibaba_Cloud,pirelli.cn,39.106.202.62
Alibaba_Cloud,gtm-a2b8.com,140.205.41.63
Alibaba_Cloud,2288bet.com,163.181.243.189
Alibaba_Cloud,shopcider.com,47.89.156.14
Alibaba_Cloud,key123.vip,120.76.38.210
Alibaba_Cloud,wc0c6.com,47.253.238.166
Alibaba_Cloud,meishesdk.com,203.107.45.167
Alibaba_Cloud,rzsimc.com,47.96.112.194
Alibaba_Cloud,kgc.cn,59.110.141.247
Alibaba_Cloud,shinewonder.com,101.200.130.155
Alibaba_Cloud,nosetime.com,8.140.174.217
Alibaba_Cloud,bczcdn.com,47.96.43.203
Alibaba_Cloud,thinkingdata.jp,8.211.140.128
Alibaba_Cloud,mjdtkt.com,60.205.33.234
Alibaba_Cloud,alfunway.xyz,8.210.106.113
Alibaba_Cloud,qiumijia.com,101.37.86.38
Alibaba_Cloud,nbdeli.com,203.107.45.167
Alibaba_Cloud,kingcak.com,47.104.166.124
Alibaba_Cloud,cbg.cn,203.107.60.192
Alibaba_Cloud,aki-game.com,106.14.182.151
Alibaba_Cloud,urbanrevivo.com,47.84.40.112
Alibaba_Cloud,qiqiuyun.net,47.99.110.162
Alibaba_Cloud,sheinfmall.com,47.106.137.12
Alibaba_Cloud,totoro.pub,47.122.16.124
Alibaba_Cloud,tkkj168.com,60.205.236.244
Alibaba_Cloud,krshb.cn,60.205.42.202
Alibaba_Cloud,szrongfang.com.cn,139.129.182.90
Alibaba_Cloud,ddzp.com,47.102.223.39
Alibaba_Cloud,subtextnews.cc,47.251.41.67
Alibaba_Cloud,jinmi.com,116.62.103.86
Alibaba_Cloud,sky-ip.net,8.210.161.165
Alibaba_Cloud,bjxuejing.cn,39.96.211.152
Alibaba_Cloud,kodcloud.com,120.26.233.26
Alibaba_Cloud,supare.com.cn,47.117.190.177
Alibaba_Cloud,winkwarpgame.cc,8.212.152.71
Alibaba_Cloud,livmet-random.com,8.214.90.18
Alibaba_Cloud,taoguba.com.cn,116.62.130.26
Alibaba_Cloud,lgyouxi.cn,118.190.15.116
Alibaba_Cloud,yijirecovery.com,182.92.61.53
Alibaba_Cloud,gayuseal.com,47.241.219.65
Alibaba_Cloud,rrcg.cn,47.98.245.204
